,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Designed Volume (acres^3),Current Volume Current (acres^3),Percent Available,Years until Fill,Years to Planned Closure,Difference in Years to fill and planned closure
1662,Monmouth,NJ,-74.115,40.245,2029.0,Open,,292.6,100.0,,32872185.0,20800717.0,419401.0,,,,28.78,6.0,22.78
1664,Ocean,NJ,-74.255,40.025,2025.0,Open,,261.8,,,22831793.0,20981125.0,606355.0,,,,3.05,2.0,1.0499999999999998
1666,Camden,NJ,-75.0342,39.991,2032.0,Open,,92.6,,,7728898.0,6886808.0,88043.0,,,,9.56,9.0,0.5600000000000005
1668,Salem,NJ,-75.3785,39.5869,2043.0,Open,40.0,,,,5788125.0,3206723.0,80176.0,,,,32.2,20.0,12.200000000000003
1669,Sussex,NJ,-74.6719,41.094,2030.0,Open,54.5,45.0,,,3164722.0,1934255.0,87394.0,,,,14.08,7.0,7.08
1670,Warren,NJ,-75.006147,40.822044,,Open,,45.0,,,4240287.0,960000.0,196110.0,,,,16.73,,
1671,Santa Fe,NM,-106.087855,35.677746,2053.0,Open,,67.3,,,12871003.0,4141365.0,163513.0,,,,53.39,30.0,23.39
1672,Dona Ana,NM,-106.592,31.79,2060.0,Open,259.0,198.0,,,50683523.0,15864637.0,485232.0,,,,71.76,37.0,34.760000000000005
1673,Bernalillo,NM,-106.877,35.0105,2076.0,Open,360.0,215.5,150.0,100.0,50634518.0,15712969.0,546831.0,1.2396672,0.49471904,0.6009259259259259,63.86,53.0,10.86
1674,Curry,NM,-103.168175,34.380999,2102.0,Open,,110.0,,,10927319.0,3593091.0,70751.0,,,,103.66,79.0,24.659999999999997
1675,Dona Ana,NM,-107.03,32.245,2040.0,Open,,61.0,,,11877047.0,3946155.0,200235.0,,,,39.61,17.0,22.61
1677,Lea,NM,-103.07,32.4283,2048.0,Open,,47.5,,,2568948.0,1907372.0,105050.0,,,,6.3,25.0,-18.7
1681,Otero,NM,-106.029,32.5642,2037.0,Open,,40.0,,,4455763.0,1947550.0,74108.0,,,,33.85,14.0,19.85
1682,Sandoval,NM,-106.671,35.2744,2028.0,Open,83.0,83.0,,75.0,8334947.0,6828435.0,168755.0,,0.14290608,,8.93,5.0,3.9299999999999997
1683,San Juan,NM,-108.0402,36.783,2146.0,Open,122.0,63.8,,,18807794.0,4355109.0,109566.0,,,,131.91,123.0,8.909999999999997
1684,Eddy,NM,-104.069167,32.500534,2045.0,Open,,,,,6275701.0,1987568.0,95094.0,,,,45.09,22.0,23.090000000000003
1685,Sandoval,NM,-106.6284,35.3064,2055.0,Open,,79.8,,,11042040.0,6367282.0,182373.0,,,,25.63,32.0,-6.370000000000001
1687,Valencia,NM,-107.04069,34.72167,,Open,360.0,50.0,,,,,,,,,,,
1688,Clark,NV,-114.86518,36.374,2365.0,Open,1200.0,297.0,,500.0,994920296.0,78109522.0,2713850.0,,3.4090848,,337.83,342.0,-4.170000000000016
1689,Lander,NV,-116.9815,40.6029,2081.0,Open,83.3,,,,,,113997.0,,,,,58.0,
1690,Clark,NV,-114.81342,35.96436,2135.0,Open,160.0,,74.0,,,2319518.0,21450.0,0.271808512,,,,112.0,
1691,Carson City,NV,-119.675,39.192,,Open,,,,,9564000.0,5276832.0,201341.0,,,,21.29,,
1692,Elko,NV,-115.7225,40.838,2133.0,Open,160.0,89.0,60.0,,15324750.0,1837739.0,70067.0,0.22038528,,,192.49,110.0,82.49000000000001
1693,Lincoln,NV,-114.1286,37.6631,2063.0,Open,49.0,,,,,,5320.0,,,,,40.0,
1695,White Pine,NV,-114.8724,39.2722,2047.0,Open,40.0,36.0,,,,,14177.0,,,,,24.0,
1696,Eureka,NV,-115.955997,39.522803,2053.0,Open,25.6,,,,,,2221.0,,,,,30.0,
1697,Esmeralda,NV,-117.266076,37.728419,2123.0,Open,20.0,,,,,,4561.0,,,,,100.0,
1698,Mineral,NV,-118.668617,38.504181,2031.0,Open,26.5,,,,,,7990.0,,,,,8.0,
1699,Clark,NV,-114.635802,35.180611,2035.0,Open,,22.2,,,1577070.0,1493189.0,18148.0,,,,4.62,12.0,-7.38
1700,Storey,NV,-119.615,39.494,2139.0,Open,856.5,278.0,,158.0,346203240.0,45958196.0,1313370.0,,1.0083544832,,228.61,116.0,112.61000000000001
1701,Lincoln,NV,-114.0759,36.8922,,Open,26.5,,,,,,71322.0,,,,,,
1702,Nye,NV,-116.014485,36.657484,,Open,,,,,,,354.0,,,,,,
1705,Nye,NV,-115.9826,36.2465,2044.0,Open,75.0,,,,,,71463.0,,,,,21.0,
1706,Pershing,NV,-118.545254,40.184063,2050.0,Open,43.0,,,,,,5061.0,,,,,27.0,
1707,Nye,NV,-117.109529,38.743362,2043.0,Open,40.0,,,,,,8557.0,,,,,20.0,
1708,Churchill,NV,-118.733792,39.231538,2030.0,Open,123.0,,,,,,89677.0,,,,,7.0,
1710,Nye,NV,-117.160484,38.061362,,Open,80.0,,,,,,17814.0,,,,,,
1711,Nye,NV,-116.762241,37.802876,,Open,21.0,,,,,,384.0,,,,,,
1712,Elko,NV,-114.135,40.702,2048.0,Open,31.0,,,,,,9376.0,,,,,25.0,
1715,Albany,NY,-73.8466,42.7036,2026.0,Open,,108.0,90.0,,11760081.0,9871977.0,73223.0,,,,25.79,3.0,22.79
1719,Oneida,NY,-75.411583,43.452965,2089.0,Open,150.0,23.0,,,27037508.0,4712025.0,303066.0,,,,73.67,66.0,7.670000000000002
1721,Oswego,NY,-76.34,43.348,2046.0,Open,90.0,43.6,135.0,71.0,2756249.0,2659813.0,110204.0,0.27892512,0.07106507008,0.7452181069958848,0.88,23.0,-22.12
1724,Broome,NY,-75.98338,42.2368,2054.0,Open,240.0,160.0,,,17351327.0,8956144.0,284760.0,,,,29.48,31.0,-1.5199999999999996
1726,Erie,NY,-78.505,42.582,2027.0,Open,106.0,86.0,125.0,102.0,16022743.0,14510319.0,626204.0,0.3041776,0.2013770496,0.33796226415094344,2.42,4.0,-1.58
1727,Chautauqua,NY,-79.3156,42.2015,2030.0,Open,,83.3,220.0,120.0,10573574.0,8297264.0,226095.0,,0.2294761728,,10.07,7.0,3.0700000000000003
1728,Chemung,NY,-76.682,42.037,2033.0,Open,126.0,63.5,60.0,60.0,10076561.0,6164129.0,423081.0,0.173553408,0.087465408,0.49603174603174605,9.25,10.0,-0.75
1730,Chenango,NY,-75.6765,42.57,,Open,30.0,,,,1104009.0,,26183.0,,,,,,
1734,Clinton,NY,-73.594,44.691,2030.0,Open,107.3,73.5,,,7478842.0,5764182.0,284027.0,,,,6.04,7.0,-0.96
1735,Cortland,NY,-76.0782,42.5932,2042.0,Open,,74.4,,,2170496.0,1787422.0,35962.0,,,,10.65,19.0,-8.35
1738,Jefferson,NY,-75.918,43.82,2074.0,Open,75.0,52.8,,85.0,21340155.0,6917735.0,221121.0,,0.1030301184,,65.22,51.0,14.219999999999999
1739,Delaware,NY,-75.052,42.158,,Open,44.1,28.4,80.0,,,908000.0,18213.0,0.0809915904,,,,,
1751,Franklin,NY,-74.3323,44.9815,2035.0,Open,,71.9,,,3703027.0,2193109.0,128657.0,,,,11.74,12.0,-0.2599999999999998
1753,Fulton,NY,-74.4725,43.0127,2059.0,Open,105.0,31.5,,,10638978.0,3358187.0,144874.0,,,,50.26,36.0,14.259999999999998
1754,Saratoga,NY,-73.614199,43.186546,2030.0,Open,,,,,7871849.0,3034222.0,374000.0,,,,12.93,7.0,5.93
1756,Monroe,NY,-77.37943,43.08695,2053.0,Open,366.0,187.5,,129.0,68327176.0,26799095.0,1238287.0,,0.5552676,,33.54,30.0,3.539999999999999
1758,Allegany,NY,-78.015,42.285,2029.0,Open,70.0,42.1,,,11460132.0,7707980.0,479381.0,,,,7.83,6.0,1.83
1761,Madison,NY,-75.7045,43.0308,2125.0,Open,44.0,41.0,80.0,80.0,9863424.0,2084593.0,57618.0,0.080807936,0.075298304,0.06818181818181823,135.01,102.0,33.00999999999999
1763,Monroe,NY,-77.9328,43.06504,2060.0,Open,98.0,90.0,90.0,,40423919.0,15318917.0,788975.0,0.202478976,,,31.82,37.0,-5.18
1764,Niagara,NY,-78.978997,43.210708,2038.0,Open,,139.0,38.0,,29326500.0,23228918.0,949253.0,,,,6.42,15.0,-8.58
1768,Steuben,NY,-77.382,42.318,2026.0,Open,,61.5,46.0,,54401467.0,3936910.0,173064.0,,,,291.59,3.0,288.59
1769,Niagara,NY,-78.9998,43.09076,2025.0,Open,,205.0,50.0,,22822725.0,19151785.0,541097.0,,,,6.78,2.0,4.78
1776,Ontario,NY,-77.0804,42.8591,2028.0,Open,110.1,106.1,30.0,,21531289.0,18242532.0,834647.0,0.0758263104,,,3.94,5.0,-1.06
1787,Seneca,NY,-76.84716,42.91795,2025.0,Open,,250.9,85.0,,64866690.0,50810964.0,1906654.0,,,,7.37,2.0,5.37
1792,Albany,NY,-73.730981,42.807825,2038.0,Open,105.0,99.3,240.0,240.0,10473750.0,8881749.0,327005.0,0.57851136,0.5471064576,0.05428571428571438,4.87,15.0,-10.129999999999999
1801,Stark,OH,-81.264,40.72,2110.0,Open,,259.3,,,118986432.0,36915307.0,878886.0,,,,93.38,87.0,6.3799999999999955
1802,Jefferson,OH,-80.91,40.435,2037.0,Open,118.0,82.0,,,75254145.0,22847163.0,2240034.0,,,,23.4,14.0,9.399999999999999
1804,Athens,OH,-82.279,39.46,2068.0,Open,135.0,35.0,200.0,100.0,16813125.0,5177837.0,182613.0,0.6198336,0.0803488,0.8703703703703703,63.72,45.0,18.72
1806,Jackson,OH,-82.4882,39.1237,2098.0,Open,,64.0,,,27116982.0,8084111.0,229547.0,,,,82.91,75.0,7.909999999999997
1809,Hamilton,OH,-84.818464,39.205893,,Open,,,,,,,47336.0,,,,,,
1810,Mahoning,OH,-80.519,41.00163,2057.0,Open,770.0,388.0,,,57366110.0,39994008.0,1142770.0,,,,15.2,34.0,-18.8
1813,Logan,OH,-83.725,40.4145,2067.0,Open,120.0,120.0,,,29928518.0,15218873.0,367742.0,,,,40.0,44.0,-4.0
1820,Coshocton,OH,-81.826,40.224,2173.0,Open,67.0,22.5,,,12389997.0,1554748.0,1.0,,,,10835249.0,150.0,10835099.0
1821,Wyandot,OH,-83.33,40.91,2189.0,Open,140.0,80.6,,,33816679.0,11584923.0,127405.0,,,,174.5,166.0,8.5
1822,Stark,OH,-81.42369,40.66683,2102.0,Open,258.0,174.8,,,72068683.0,25734821.0,486495.0,,,,95.24,79.0,16.239999999999995
1823,Crawford,OH,-82.869,40.8215,2045.0,Open,,84.5,,65.0,17769360.0,6372473.0,296178.0,,0.126090224,,38.48,22.0,16.479999999999997
1825,Defiance,OH,-84.412224,41.252,2048.0,Open,,69.7,,,9217718.0,4655228.0,173902.0,,,,26.24,25.0,1.2399999999999984
1829,Erie,OH,-82.6035,41.344,2041.0,Open,,134.8,,,7113494.0,5091289.0,164510.0,,,,12.29,18.0,-5.710000000000001
1830,Wood,OH,-83.51224,41.60598,2062.0,Open,,150.0,,,21157320.0,14717230.0,151503.0,,,,42.51,39.0,3.509999999999998
1832,Franklin,OH,-83.10904,39.84186,2067.0,Open,362.0,164.5,248.0,165.0,96748841.0,28060720.0,1247956.0,2.0609696768,0.623104944,0.697664186419533,55.04,44.0,11.04
1833,Gallia,OH,-82.239,38.984,2026.0,Open,38.0,33.0,,,2064334.0,1695090.0,17004.0,,,,21.72,3.0,18.72
1834,Ashtabula,OH,-80.905227,41.793893,2101.0,Open,,48.6,,,18204778.0,6081343.0,141868.0,,,,85.46,78.0,7.459999999999994
1836,Hancock,OH,-83.6785,41.1125,2045.0,Open,,65.6,120.0,,8327549.0,3000000.0,91000.0,,,,58.54,22.0,36.54
1838,Lucas,OH,-83.5056,41.6933,2092.0,Open,,91.2,,,10095593.0,7747281.0,163159.0,,,,14.39,69.0,-54.61
1841,Tuscarawas,OH,-81.54137,40.51139,2040.0,Open,260.0,96.1,250.0,175.0,40731297.0,18602835.0,1221767.0,1.492192,0.386075984,0.7412692307692308,18.11,17.0,1.1099999999999994
1843,Lake,OH,-81.2004,41.756,2048.0,Open,250.0,200.0,,,15639184.0,9181479.0,235190.0,,,,27.46,25.0,2.460000000000001
1844,Lorain,OH,-82.175,41.305,2036.0,Open,,,,,54712100.0,43374703.0,979817.0,,,,11.57,13.0,-1.4299999999999997
1845,Mahoning,OH,-80.585632,40.914603,2089.0,Open,109.6,60.0,,119.0,22129315.0,7624310.0,192091.0,,0.163911552,,75.51,66.0,9.510000000000005
1850,Richland,OH,-82.48737,40.97586,2038.0,Open,186.3,45.5,,,30033660.0,17696328.0,1251288.0,,,,9.86,15.0,-5.140000000000001
1852,Ottawa,OH,-83.033,41.525,2105.0,Open,,116.5,,,17874378.0,10806804.0,84709.0,,,,83.43,82.0,1.4300000000000068
1853,Pike,OH,-82.96376,39.08577,2057.0,Open,140.0,48.0,210.0,,20649694.0,5984336.0,415636.0,0.67492992,,,35.28,34.0,1.2800000000000011
1854,Fairfield,OH,-82.71237,39.590021,2168.0,Open,,107.0,,,24400513.0,10128521.0,151932.0,,,,93.94,145.0,-51.06
1855,Preble,OH,-84.6525,39.7446,2050.0,Open,52.0,,,,2756250.0,1492170.0,42538.0,,,,29.72,27.0,2.719999999999999
1858,Brown,OH,-83.9018,38.8973,2090.0,Open,223.0,85.4,,,70795493.0,9571806.0,566941.0,,,,107.99,67.0,40.989999999999995
1859,Hamilton,OH,-84.59822,39.2745,2058.0,Open,,,,,165063026.0,68019346.0,2420172.0,,,,40.1,35.0,5.100000000000001
1863,Montgomery,OH,-84.25222,39.71552,2052.0,Open,,69.8,,,15861049.0,12263639.0,163210.0,,,,22.04,29.0,-6.960000000000001
1864,Perry,OH,-82.2885,39.876,2126.0,Open,,85.0,,,47378919.0,14533144.0,279474.0,,,,117.53,103.0,14.530000000000001
1865,Seneca,OH,-83.413297,41.108433,2039.0,Open,,116.2,,,35722859.0,21695146.0,2033240.0,,,,6.9,16.0,-9.1
1868,Perry,OH,-82.158251,39.735838,2031.0,Open,,49.0,,,29166888.0,13839776.0,1852908.0,,,,8.27,8.0,0.2699999999999996
1869,Williams,OH,-84.5815,41.51385,2126.0,Open,,94.8,,,28770689.0,8265506.0,100417.0,,,,204.2,103.0,101.19999999999999
1871,Clinton,OH,-83.8512,39.44,,Open,,,,,780000.0,734611.0,14300.0,,,,3.17,,
1872,Wood,OH,-83.7377,41.3772,2024.0,Open,43.0,43.0,155.0,100.0,1488259.0,1128918.0,60470.0,0.153007072,0.09871424,0.3548387096774194,5.94,1.0,4.94
1874,Pittsburg,OK,-95.764358,34.928455,2039.0,Open,,31.1,,,2856049.0,1956928.0,71181.0,,,,12.63,16.0,-3.369999999999999
1875,Osage,OK,-96.190532,36.158803,2047.0,Open,150.0,58.8,,,14959047.0,10766527.0,926502.0,,,,4.53,24.0,-19.47
1877,Pottawatomie,OK,-96.80372,35.34758,2064.0,Open,,42.1,,,3705336.0,1214544.0,0.0,,,,inf,41.0,inf
1878,Lincoln,OK,-96.647746,35.543891,2040.0,Open,,32.6,,,1499055.0,1422797.0,55312.0,,,,1.38,17.0,-15.620000000000001
1879,Adair,OK,-94.63732,35.71223,,Open,,,,,,877185.0,60341.0,,,,,,
1881,Pittsburg,OK,-95.832677,34.950083,,Open,,,,,,,432.0,,,,,,
1882,Okmulgee,OK,-95.890227,35.603247,2036.0,Open,,21.4,,,1464374.0,1018858.0,30775.0,,,,14.48,13.0,1.4800000000000004
1883,Sequoyah,OK,-94.744806,35.414166,2026.0,Open,,42.9,,,2161857.0,1588181.0,88505.0,,,,6.48,3.0,3.4800000000000004
1884,Oklahoma,OK,-97.41513,35.50373,2069.0,Open,,165.0,100.0,,38714220.0,21936630.0,476377.0,,,,35.22,46.0,-10.780000000000001
1885,Beckham,OK,-99.496143,35.425498,,Open,,,,,,,29905.0,,,,,,
1886,Garfield,OK,-97.859154,36.36195,2031.0,Open,72.0,40.0,,50.0,4851000.0,3109680.0,84759.0,,0.0459136,,20.54,8.0,12.54
1888,Grady,OK,-97.992425,35.195179,,Open,74.0,,,,4531275.0,143325.0,118.0,,,,37186.02,,
1889,Comanche,OK,-98.4,34.523,2025.0,Open,130.0,106.0,80.0,,,6034860.0,203854.0,0.23875072,,,,2.0,
1890,McCurtain,OK,-94.846107,33.86093,2028.0,Open,44.5,,,,,,11679.0,,,,,5.0,
1891,Muskogee,OK,-95.42966,35.71897,2023.0,Open,,44.7,,,4141831.0,4111647.0,153892.0,,,,0.2,0.0,0.2
1892,McClain,OK,-97.58247,35.26531,2034.0,Open,66.0,50.1,,66.0,4285258.0,2857352.0,0.0,,0.07590895488,,inf,11.0,inf
1894,Woodward,OK,,,,Open,,,,,,982633.0,39305.0,,,,,,
1895,Oklahoma,OK,-97.64,35.4455,2025.0,Open,,131.1,,,,15521691.0,730507.0,,,,,2.0,
1896,Canadian,OK,-97.9255,35.438,2027.0,Open,,68.0,,,3600725.0,3147236.0,91648.0,,,,4.95,4.0,0.9500000000000002
1897,Osage,OK,-96.012747,36.717611,2135.0,Open,50.0,36.9,,,13608819.0,2817721.0,80862.0,,,,133.45,112.0,21.44999999999999
1898,Garvin,OK,-97.204547,34.713702,2026.0,Open,,,,,1333482.0,1105458.0,119040.0,,,,1.92,3.0,-1.08
1900,Kay,OK,-97.11,36.647,2041.0,Open,,41.0,,,2795544.0,1642796.0,47645.0,,,,24.19,18.0,6.190000000000001
1901,Wagoner,OK,-95.51475,35.85034,2131.0,Open,,42.7,,,16467428.0,3736131.0,173.0,,,,73591.31,108.0,73483.31
1902,Tulsa,OK,-95.83306,36.20683,2035.0,Open,,127.6,,,24613395.0,17919587.0,534529.0,,,,12.52,12.0,0.5199999999999996
1903,Major,OK,-98.19,36.458,2114.0,Open,89.7,58.4,,,5777100.0,3652535.0,81499.0,,,,26.07,91.0,-64.93
1904,Beckham,OK,-99.630873,35.333656,,Open,,,,,,,4263.0,,,,,,
1905,Seminole,OK,-96.546,35.18,2059.0,Open,38.0,25.0,90.0,50.0,2349866.0,963238.0,3034.0,0.078512256,0.028696,0.6345029239766082,457.03,36.0,421.03
1906,Oklahoma,OK,-97.4592,35.3972,2068.0,Open,227.4,130.6,,112.0,41991349.0,19059508.0,543978.0,,0.33579370496,,42.16,45.0,-2.8400000000000034
1907,Carter,OK,-97.0382,34.1891,2057.0,Open,120.0,61.7,160.0,140.0,18645326.0,4628349.0,180625.0,0.44077056,0.1983008384,0.5501041666666666,77.6,34.0,43.599999999999994
1908,Grady,OK,-97.8132,34.9326,2032.0,Open,79.0,51.4,,,,4341595.0,150309.0,,,,,9.0,
1909,Payne,OK,-97.052136,36.209557,2142.0,Open,,45.9,,,5668800.0,4297738.0,80796.0,,,,16.97,119.0,-102.03
1910,Wallowa,OR,-117.256,45.458,,Open,,,,,,,,,,,,,
1911,Baker,OR,-117.7851,44.7047,,Open,,,,,,,,,,,,,
1912,Harney,OR,-119.0846,43.5842,,Open,,,,,,,,,,,,,
1913,Klamath,OR,-121.7865,43.2015,,Open,,,,,,,,,,,,,
1914,Benton,OR,-123.22506,44.69915,2044.0,Open,,82.0,,,39154705.0,18723663.0,1046195.0,,,,19.53,21.0,-1.4699999999999989
1915,Gilliam,OR,-120.217237,45.639234,2131.0,Open,687.0,273.5,,250.0,392486949.0,64369297.0,2817538.0,,1.5696712,,116.46,108.0,8.459999999999994
1916,Crook,OR,-120.912,44.304,2050.0,Open,,62.2,,,79128886.0,1644979.0,37010.0,,,,2093.59,27.0,2066.59
1917,Jackson,OR,-122.773,42.382,2100.0,Open,200.0,60.0,,,75820188.0,8915073.0,644127.0,,,,103.87,77.0,26.870000000000005
1918,Morrow,OR,-119.623,45.7447,2186.0,Open,498.0,89.7,,,85014551.0,15054188.0,969950.0,,,,72.13,163.0,-90.87
1919,Baker,OR,-117.919,44.9294,,Open,,,,,,,,,,,,,
1920,Umatilla,OR,-118.5579,45.834,,Open,,,,,,,,,,,,,
1922,Deschutes,OR,-121.255,44.01,2029.0,Open,135.0,89.0,,100.0,23274878.0,4635167.0,219522.0,,0.20431552,,84.91,6.0,78.91
1923,Malheur,OR,-117.1518,43.8763,,Open,,,,,,,,,,,,,
1924,Umatilla,OR,-121.2936,44.0945,2030.0,Open,45.0,,,,,125000.0,5075.0,,,,,7.0,
1926,Yamhill,OR,-123.247,45.161,2035.0,Open,88.0,84.7,,,,16676913.0,36572.0,,,,,12.0,
1927,Douglas,OR,-123.379,43.1859,2040.0,Open,,51.4,150.0,50.0,5200890.0,3994911.0,163093.0,,0.058998976,,7.39,17.0,-9.61
1929,Lane,OR,-123.0088,43.9792,2091.0,Open,,79.0,,200.0,32116052.0,10354829.0,292176.0,,0.36271744,,74.48,68.0,6.480000000000004
1932,Lake,OR,-120.3677,42.2835,,Open,,,,,,,,,,,,,
1933,Wasco,OR,-121.14089,45.56129,2045.0,Open,160.0,69.6,,,18373145.0,11988150.0,1117943.0,,,,5.71,22.0,-16.29
1935,Lackawanna,PA,-75.735,41.398,2053.0,Open,513.0,193.5,,,49078436.0,24759901.0,601393.0,,,,40.44,30.0,10.439999999999998
1937,Washington,PA,-80.2647,40.2083,2091.0,Open,160.0,141.7,,,42740690.0,15522535.0,438449.0,,,,62.08,68.0,-5.920000000000002
1938,Northampton,PA,-75.307,40.625,2025.0,Open,201.0,109.0,,,12825787.0,10258767.0,413686.0,,,,6.21,2.0,4.21
1939,Franklin,PA,-77.55683,39.97204,2035.0,Open,241.0,140.0,,,24873975.0,14241650.0,738710.0,,,,14.39,12.0,2.3900000000000006
1940,Bradford,PA,-76.63,41.777,2024.0,Open,54.0,54.0,,,3946817.0,3652939.0,111689.0,,,,2.63,1.0,1.63
1942,Fayette,PA,-79.8388,39.897,2024.0,Open,,44.0,,,5069721.0,4875019.0,152356.0,,,,1.28,1.0,0.28
1943,Northampton,PA,-75.2275,40.6658,2040.0,Open,108.0,71.1,,,12555143.0,8847286.0,198797.0,,,,18.65,17.0,1.6499999999999986
1944,Schuylkill,PA,-76.375,40.675,2028.0,Open,270.0,119.9,,,18882817.0,5564197.0,464068.0,,,,28.7,5.0,23.7
1945,Berks,PA,-75.9144,40.1806,2030.0,Open,277.0,197.0,,150.0,55161632.0,37608963.0,1282025.0,,0.67837344,,13.69,7.0,6.6899999999999995
1948,Cumberland,PA,-77.5039,40.1344,2032.0,Open,174.0,145.3,,,17505899.0,13468726.0,346574.0,,,,11.65,9.0,2.6500000000000004
1952,Indiana,PA,-79.1373,40.493,2068.0,Open,110.0,47.5,,,10003535.0,3817476.0,108298.0,,,,57.12,45.0,12.119999999999997
1953,Bucks,PA,-74.758443,40.151865,2028.0,Open,194.0,,,,35126718.0,15544105.0,3590675.0,,,,5.45,5.0,0.4500000000000002
1955,Lancaster,PA,-76.446215,39.955047,2038.0,Open,96.0,93.0,180.0,120.0,20803562.0,14037206.0,406549.0,0.39669350400000003,0.256197888,0.35416666666666674,16.64,15.0,1.6400000000000006
1956,Northampton,PA,-75.2619,40.8581,2028.0,Open,206.0,152.3,,78.0,23788049.0,22761453.0,717858.0,,0.27271300992,,1.43,5.0,-3.5700000000000003
1957,Lebanon,PA,-76.49443,40.36401,2043.0,Open,,106.1,75.0,,9664094.0,4985388.0,141157.0,,,,33.15,20.0,13.149999999999999
1958,Westmoreland,PA,-79.5837,40.129,2025.0,Open,87.0,72.4,,88.0,12457846.0,10631191.0,250986.0,,0.14626236416000002,,7.28,2.0,5.28
1959,Elk,PA,-78.6469,41.2953,2053.0,Open,,204.6,,,59784189.0,26222011.0,469556.0,,,,71.48,30.0,41.480000000000004
1962,Allegheny,PA,-80.29125,40.43512,2044.0,Open,,377.9,,,39259959.0,24401328.0,554507.0,,,,26.8,21.0,5.800000000000001
1963,Beaver,PA,-80.1703,40.72,2030.0,Open,11.0,,,,4054000.0,1891462.0,73368.0,,,,29.48,7.0,22.48
1964,Allegheny,PA,-79.878898,40.255541,2027.0,Open,400.0,104.6,,,,4653211.0,156706.0,,,,,4.0,
1966,Lackawanna,PA,-75.608,41.427,2064.0,Open,,396.8,,,53416213.0,50878808.0,1850010.0,,,,1.37,41.0,-39.63
1969,Erie,PA,-80.0178,42.0619,2069.0,Open,210.0,151.3,,108.0,31526105.0,17748560.0,297775.0,,0.37512329472000006,,46.27,46.0,0.2700000000000031
1970,Lancaster,PA,-75.9456,40.1067,2032.0,Open,168.0,152.0,163.0,150.0,18435575.0,15498170.0,296848.0,0.6286490112,0.52341504,0.16739702015775637,9.9,9.0,0.9000000000000004
1972,Cambria,PA,-78.876,40.4321,2130.0,Open,127.0,79.5,,,34585920.0,7989096.0,118759.0,,,,223.96,107.0,116.96000000000001
1974,Lycoming,PA,-76.9194,41.1519,2036.0,Open,,115.0,175.0,120.0,14217665.0,12016882.0,316592.0,,0.31680384,,6.95,13.0,-6.05
1978,McKean,PA,-78.6378,41.665,2071.0,Open,,37.0,,,23529932.0,3373002.0,99759.0,,,,202.06,48.0,154.06
1980,York,PA,-76.595,39.956,2025.0,Open,,230.0,,,42202993.0,36148625.0,999043.0,,,,6.06,2.0,4.06
1982,Allegheny,PA,-79.79,40.405,2044.0,Open,,141.7,,,24628785.0,20603574.0,439123.0,,,,9.17,21.0,-11.83
1984,Somerset,PA,-78.9897,39.9719,2052.0,Open,,62.8,,,12743971.0,6911586.0,148686.0,,,,39.23,29.0,10.229999999999997
1985,Franklin,PA,-77.8033,39.7947,2049.0,Open,,89.0,75.0,,21882949.0,11992424.0,349102.0,,,,28.33,26.0,2.3299999999999983
1986,Butler,PA,-79.901903,41.019046,2024.0,Open,63.0,51.5,,,5107537.0,4767391.0,80806.0,,,,4.21,1.0,3.21
1988,Berks,PA,-75.8139,40.2736,2028.0,Open,25.0,,,,12034669.0,10796607.0,379784.0,,,,3.26,5.0,-1.7400000000000002
1991,Berks,PA,-75.7158,40.3611,2034.0,Open,233.0,149.2,,,21540776.0,10321196.0,160868.0,,,,69.74,11.0,58.739999999999995
1993,Bedford,PA,-78.198,40.132,2130.0,Open,65.0,37.8,,,5921698.0,2640733.0,143963.0,,,,22.79,107.0,-84.21000000000001
1995,Chester,PA,-75.84115,39.86729,2036.0,Open,95.0,60.0,,,4047057.0,3385673.0,130562.0,,,,5.07,13.0,-7.93
1996,Butler,PA,-80.0783,40.8117,2051.0,Open,166.0,24.0,65.0,,31206099.0,13005048.0,750988.0,0.247703872,,,24.24,28.0,-3.7600000000000016
1998,Allegheny,PA,-79.99482,40.27858,2056.0,Open,,87.4,,,16248556.0,7332513.0,140575.0,,,,63.43,33.0,30.43
1999,Somerset,PA,-78.9,40.2361,2084.0,Open,,68.7,,,13182530.0,9967871.0,76809.0,,,,41.85,61.0,-19.15
2002,Westmoreland,PA,-79.6742,40.3881,2066.0,Open,,138.9,,,21625452.0,9672551.0,259489.0,,,,46.06,43.0,3.0600000000000023
2004,Clinton,PA,-77.345,41.1619,2048.0,Open,219.0,108.2,,,18808679.0,4848050.0,232342.0,,,,60.09,25.0,35.09
2005,Berks,PA,-75.90865,40.30281,2023.0,Open,,63.1,,,,5369307.0,267181.0,,,,,0.0,
2006,Westmoreland,PA,-79.8593,40.1443,2055.0,Open,270.0,56.1,,,29292041.0,7003056.0,318266.0,,,,70.03,32.0,38.03
2009,Anasco,PR,-67.143193,18.313954,,Open,,19.0,,,,,24400.0,,,,,,
2010,Arecibo,PR,-66.621264,18.465776,2027.0,Open,,56.3,,,,6519760.0,321230.0,,,,,4.0,
2012,Barranquitas,PR,-66.311485,18.197565,,Open,,17.0,,,,,21840.0,,,,,,
